,Comentarios,TweetPre
2416,"&#124; &#124; El hecho de darte cuenta que en el juego cuando G.Freddy decía "" Aquí ya no hay un conejo... "" Y darte cuenta de que no se refería jajaja Vanny si no jajaja Bonnie te pone muy triste.",hecho darte cuenta juego freddy decia aqui conejo darte cuenta referia jajaja vanny jajaja bonnie pone triste
2417,Eu te preocupado já,preocupado
2418,@i4catsz miya te picando preocupado só te vejo na tal dicendo que tá enojada e com ode,catsz miya picando preocupado vejo dicendo enojada
2419,eu te tío triste,triste
2420,"jajaja volta na academia é triste, desde segunda sem malar e te aqui horrendo",jajaja volta academia triste segunda malar aqui horrendo
2421,ansiosa p votar no lula no final do ano af,ansiosa votar lula final
2422,"@UrsulaBethManzo Triste labor, recibe un abrazo sincero.",ursulabethmanzo triste labor recibe abrazo sincero
2423,humor triste pegando penas,humor triste pegando penas
2424,@_madug Ai amo te tío triste por isso,madug triste isso
2425,ai eu to mt triste mano,triste mano
2426,Yo solo quiero sentarme jajaja llorar de amor por 5 años de,solo quiero sentarme jajaja llorar amor ano
2427,te tío ansiosa pra moon knight,ansiosa moon knight
2428,as vezes fico triste até com brincadora sobre isso e relevo MAS ELA NN TAVA BRINCANDO MN VSF SUA LIXO,vezes fico triste brincadora isso relevo tava brincando lixo
2429,Estoy triste chau,triste chau
2430,"@BTS_twt @iGGUKF4IR estoy triste, chau",iggukf triste chau
2431,@evescondida tú serías qn se pusiera nerviosa,evescondida serias pusiera nerviosa
2432,"AYUDA ACABA DE VENIR, ESTÁBAMOS SOLOS Y ME PUSE RE NERVIOSA, MAAAAAN, T ODIO",ayuda acaba venir estabamos solo puse nerviosa maaan odio
2433,@lizethselene_ cansada demas,lizethselene cansada demas
2434,O triste momento que está sem energia aqui desde as 15h00 … meu celularncom 4% de bateria 😔,triste momento energia aqui celularncom bateria
2435,@GatitaPatriota La orsini preocupada siempre del 🍆!!,gatitapatriota orsini preocupada siempre
2436,"eu, to, triste",triste
2437,voy jajaja llorar,jajaja llorar
2438,"@IsabelCanal4 muito triste, tenho q compra agora um novo de outra cor pra continua colegio gehehehehev",isabelcanal muito triste tenho compra agora novo outra continuum colegio gehehehehev
2439,meu deus to olvido jajaja call de dividas e to desesperada já meu deus,deus olvido jajaja call dividas desesperada deus
2440,"Ataques de pánico, à noite, na minha casa Não vou perder ánimo com tudo o que se passa Juro que é tío triste de ver que tudo é uma farsa Qualquer problema que eu tenho, eu juro dos uma passa",ataques panico noite minha casa perder animo tudo passa juro triste tudo farsa qualquer problema tenho juro passa
2441,Vendo os asuntos q foram pauta do site e triste demas pelas gerações mais joven q tío absorviendo cultura imbecil da gringa de no dar uns hijos and sai com alguém da primeira vez,vendo asuntos foram pauta site triste demas pelas geracoes mais joven absorviendo cultura imbecil gringa hijos alguem primeira
2442,@CalleniusAriane Nooooo🥺que día tan triste,calleniusariane nooo triste
2443,llorar en clase de estadística es mi pasión,llorar clase estadistica pasion
2444,Escuchando rap triste jajaja la 1 de la mañana.,escuchando triste jajaja manana
2445,@lizethselene_ triste,lizethselene triste
2446,"Hay un concierto que me esta respirando en la nunca, estoy nerviosa",concierto respirando nunca nerviosa
2447,@antoniotabet Cena triste humillante,antoniotabet cena triste humillante
2448,meu deus eu sou MT TRISTE,deus triste
2449,Estoy tan cansada de vos,cansada
2450,"Alguém me mata antes que eu cheque na parte triste desde libro, pelo bem da minha salde mental que nem existe mais).... #bookstan #BookTwitter #eassimqueacaba",alguem mata cheque parte triste libro pelo minha salde mental existe mais bookstan booktwitter eassimqueacaba
2451,"@Jerd10s_ @L93Daniel @Melvinpastoree @BILD @TelemundoSports @ErlingHaaland @FCBayernES @BVB09MEX Que triste es celebrar logros ajenos man. River ni se compara jajaja Barcelona y Bayern, es más ellos nunca descendieron.",jerd daniel melvinpastoree bild telemundosports erlinghaaland fcbayernes triste celebrar logros ajenos river compara jajaja barcelona bayern nunca descendieron
2452,"te cansada disso, sempre isso.",cansada disso sempre isso
2453,Llorar por manes? Nah Llorar por plata? Se me antojó,llorar mane llorar plata antojo
2454,@xeumoreira mulher do ce kkkkkkkkkkkkkkkkkk va preocupada com o cabello e eu chocando com essa pele,xeumoreira mulher kkk preocupada cabello chocando essa pele
2455,"Que lástima, con el cambio de dirigencia, comienzan las cagadas en River en busca de un dinero extra sin mirar las consecuencias, comienzan los "" festivales "" en su estadio, tanto costo mejorar la cancha, y ahora empezarán jajaja destrozar el césped, todo muy triste.",lastima cambio dirigencia comienzan cagadas river busca dinero extra mirar consecuencias comienzan festivales estadio costo mejorar cancha ahora empezaran jajaja destrozar cesped triste
2456,@fidelisxzs triste? com esse mundo? jajaja para né,fidelisxzs triste esse mundo jajaja
2457,"@GaiaRowle » llorar. La imagen de sus ojos reflejando el miedo jajaja que la hiciera daño hacía unos días, el cómo había temblado ante la solo idea de que hacía unos minutos hubiera alzado la mano contra ella... Justo de eso era de lo que quería protegerla cuando volvió jajaja conocerla tras tantos »",gaiarowle llorar imagen ojos reflejando miedo jajaja hiciera dano hacia dia habia temblado solo idea hacia minutos alzado mano justo queria protegerla volvio jajaja conocerla tras tantos
2458,@WilliamsMorenoA @LaSalitadelSin @MinamPeru @SerforPeru @SERNANP Esto es muy triste de,williamsmorenoa lasalitadelsin minamperu serforperu sernanp triste
2459,Ansiosa pra comezar jajaja odiar jajaja jade picon,ansiosa comezar jajaja odiar jajaja jade picon
2460,Llorar le hace bien al alma ❤️‍🩹,llorar hace bien alma
2461,@vixtorr15 Amigo é triste,vixtorr amigo triste
2462,"O meu Twitter é tudo sobre ansiedad, todos com sintomas de um ansioso",twitter tudo ansiedad sintomas ansioso
2463,@lizethselene_ triste: /,lizethselene triste
2464,to cansada,cansada
2465,@alvarojoseenriq Muy triste que todavía haya mucha gente así.,alvarojoseenriq triste todavia mucha gente
2466,Que cansado es ser adulto independiente 🥴,cansado adulto independiente
2467,@rohloff_bea ola virus tem vezes que respiro para no chorarKAKDKAKDK MAS ALARME PARA IR NA ACADEMIA AKSKAKS ASSIM TRISTE? QUER IR MALHAR COM DEPRE É?,rohloff virus vezes respiro chorarkakdkakdk alarme academia akskaks assim triste quer malhar depre
2468,Pense num cuidado cansado,pense cuidado cansado
2469,@lizethselene_ triste 😢,lizethselene triste
2470,"pero hoy guiño cumple 18!! 😭😭😭 jope es que majo es lo quiero un montón, me voy jajaja llorar😭😭😭",guino cumple jope majo quiero monton jajaja llorar
2471,@lizethselene_ cansada y vos? 😋,lizethselene cansada
2472,"@xbrattyb Ansiedad, sunflower, mercurio, visible, niña.",xbrattyb ansiedad sunflower mercurio visible nina
2473,"te triste que ele já foi embora, e nem pude me despedir",triste embora pude despedir
2474,"volveré jajaja ver jajaja mi bebé así, dios quiero irme jajaja casa y llorar mareees😭❤️",volvere jajaja jajaja bebe dios quiero irme jajaja casa llorar mareees
2475,Começou jajaja tocar música triste do naruto clásico na academia do nada,comecou jajaja tocar musica triste naruto clasico academia
2476,@lizethselene_ cansada y tú,lizethselene cansada
2477,Las personas que salen jajaja bailar cuando la pista está vacía son las más importantes del mundo.,persona salen jajaja bailar pista vacia importantes mundo
2478,"Hace un rato me puse jajaja hacer tik tok, estaba tan feliz que se me notaba, pero luego de hacerlos... sentí un gran vacío dentro de mi que cambió mi cara rápidamente",hace rato puse jajaja hacer feliz notaba luego hacerlos sent gran vacio dentro cambio cara rapidamente
2479,"@leilapereiralp O gamba deve estar triste, porque ele no bate de frente com jajaja torcida. Leila está uma negado",leilapereiralp gamba deve triste bate frente jajaja torcida leila negado
2480,@Majela1 Estamos arrasados. Perdemos anos de trabajo. Muito triste.,majela arrasados perdemos ano trabajo muito triste
2481,En esta foto Artemis por mucho que se haga el duro tienen más fans de llorar que yo cuando me acabo un libro,foto artemis haga duro fan llorar acabo libro
2482,"La depresión es una mierda, te desgasta poco jajaja poco de manera muy silenciosa.",depresion mierda desgasta jajaja manera silenciosa
2483,La ansiedad y yo juntitas de la mano,ansiedad juntitas mano
2484,"Ni dolió tanto jajaja se pone jajaja llorar en su habitación, sin boleto para Harry Styles y sin dinero",dolio jajaja pone jajaja llorar habitacion boleto harry style dinero
2485,@FernandaSFGome2 @UOLNoticias Desmamou né fia? Fica triste no kiki,fernandasfgome uolnoticias desmamou fica triste kiki
2486,Mas eu te tío cansado ultimamente,cansado ultimamente
2487,mulher da um tempo deiva de ser desesperada!!!! se o cara ainda tirese uma belleza surreal mas eh so mais um padrazo voce jajaja pego 500 guais,mulher tempo deiva desesperada cara ainda tirese belleza surreal mais padrazo voce jajaja pego guais
2488,25 anos 2 números 1 enamoro 3 tatuajes 1 piercing 3 duros na oreja 2 cirugias 0 osos quebrados 5 mudanzas de casa (ansiosa pela 6) 0 experiencia de quise morte,ano numeros enamoro tatuajes pierce duros oreja cirugias osos quebrados mudanzas casa ansiosa pela experiencia quise morte
2489,"Odeio n conseguir dizer no... estou tío cansado, com dor... mas sempre pensando nas pessoas primeiro e dedos em mim...",odeio conseguir dizer estou cansado sempre pensando pessoas primeiro dedos
2490,"Dia 2/7 sin paja 5: Eh logrado burlar mis propios planes de sabotaje y me quedo una sensación de vacio, ahora veo todo de manera distinta... ¿por que estamos aqui? ¿reproducirnos para preservar la especie? ¿para que? Por jajaja o por B nos extinguiremos junto con la tierra",paja logrado burlar propios plane sabotaje quedo sensacion vacio ahora manera distinta aqui reproducirnos preservar especie jajaja extinguiremos junto tierra
2491,@Kimberly_fan1 @jesusdostubers Tengo 16 mija y la que va jajaja llorar vas hacer vos pendeja fan de kimura,kimberly jesusdostubers mija jajaja llorar hacer pendeja kimura
2492,@guttocaffetino Triste,guttocaffetino triste
2493,ay no me puse triste,puse triste
2494,"@AmanuenX @el_pais Qué noticia tan triste. Si mal no recuerdo, de Gaspard Ulliel solo he visto "" Paris, je t'aime "" y "" El Reflejo de Sibyl "", en cada una tuvo interpretaciones discretas pero muy buenas. Duele que se haya ido tan joven y con una carrera tan prometedora por delante. DEP.",amanuenx pais noticia triste recuerdo gaspard ulliel solo visto paris aime reflejo sibyl cada interpretaciones discretas buenas duele joven carrera prometedora delante
2495,Dona Cidinha me ligando preocupada com jajaja possível chupa,dona cidinha ligando preocupada jajaja possivel chupa
2496,eu to muito cansado muito ao extremo mesmo,muito cansado muito extremo mesmo
2497,@motoristadetaxi Cachorro triste miserable podido,motoristadetaxi cachorro triste miserable podido
2498,@Sunsonoio @LDagatha @MenervaPiquero Si que la he liado si 😪 siento haberos preocupado y haberlo liado tan parda 😪🤦‍♀️💜😘,sunsonoio ldagatha menervapiquero liado siento haberos preocupado haberlo liado parda
2499,"Disculpen que hay que les tuiteo más que otros, pero es por mis estados de depresión.",disculpen tuiteo depresion
2500,"Je suis vraiment triste la, je n ’ arte pas de pensar à lui. Son fils à 6 ans sh..",suis vraiment triste arte pensar fils
2501,choque Triste,choque triste
2502,"@Marisol33963795 Ya sabes mi predilección por los Loboutin, los terceros combinados con el vestido cuarto, medias negras y tal … de insomnio.",marisol sabes predileccion loboutin terceros combinados vestido cuarto medias negras insomnio
2503,Odeio quando mando fazer alguma coisa pq eu fico ansiosa até ficar pronto 😥,odeio quando mando fazer alguma coisa fico ansiosa ficar pronto
2504,"termine the horizon, no chofer, mas é muito triste, foi jajaja melhor coisa q eu jajaja li em toda minha vida, mesmo no lindo quise nada",termine horizon chofer muito triste jajaja melhor coisa jajaja toda minha vida mesmo lindo quise
2505,"@kevinhasfc Putariazinha é barba dos, posso tá triste o tanto que for mas se eu escuhar tocando ánimo na hora",kevinhasfc putariazinha barba posso triste escuhar tocando animo hora
2506,SI SE ENCJEBTRAN VOY jajaja LLORAR,encjebtran jajaja llorar
2507,"Termine la reina del flow, me siento vacía. Con que me voy jajaja vaciar ahora 😥",termine reina flow siento vacia jajaja vaciar ahora
2508,aquele ep que o seu siriguejo prohibe o bob esponja de lugar karate pop muito triste 😞😞💔💔💔,aquele siriguejo prohibe esponja lugar karate muito triste
2509,"perdí muchos puntos con ari, no sirvo para las apuestas estoy triste",perdi puntos sirvo apuestas triste
2510,Quiero llorar por 3 días seguidos,quiero llorar dia seguidos
2511,estou triste.,estou triste
2512,@lizethselene_ cansada de tudo e va amor?,lizethselene cansada tudo amor
2513,"Odio sentirme agotada, quiero ya estar acostumbrada dijo mioooo",odio sentirme agotada quiero acostumbrada dijo miooo
2514,@MEMIN1531 @waraujo64 @CargileForCA35 Cuando la SIMIO vio que yo ya lo seguía se puso jajaja llorar jajaja,memin waraujo cargileforca simio seguia puso jajaja llorar jajaja
2515,"@Jmorales_9 @PlayVerso Ahora me entero que publicar noticias es llorar, señor váyase un poco jajaja tomar viento, quiere?",jmorales playverso ahora entero publicar noticias llorar senor vayase jajaja tomar viento quiere
2516,YA MERO CUMPLO 1 AÑO CN BANGTAN PLS VOY jajaja LLORAR MUCHO ESE DIA,mero cumplo bangtan jajaja llorar
2517,"Quando voce está feliz, voce corte jajaja música, mas quando voce está triste, voce entende jajaja letra.",quando voce feliz voce corte jajaja musica quando voce triste voce entende jajaja letra
2518,@ContreraMac @ElLocoLomelu Ahora dilo sin llorar,contreramac ellocolomelu ahora dilo llorar
2519,Ver jajaja la guacamayo nerviosa me está poniendo mal #SecretGala1,jajaja guacamayo nerviosa poniendo secretgala
2520,personalmente cansada de tot home que estudio filosofia semola que amb l ’ orla us donen el carnet d ’ imbécil integral,personalmente cansada home estudio filosofia semola orla donen carnet imbecil integral
